Watching TV in a "paint me like one of your French ladies" pose
Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, LDR 
1592923939,255,255,255,9,93,97,9
1592923940,255,255,255,9,93,97,9
1592923942,255,255,255,9,93,98,9
1592923943,255,255,255,9,93,98,9
1592923945,255,255,255,9,93,97,9
1592923946,255,255,255,9,93,98,9
1592923948,255,255,255,9,93,98,9
1592923949,255,255,99,9,93,98,9
1592923951,255,255,255,9,93,98,10
1592923952,255,255,255,10,91,92,12
1592923954,255,255,255,9,92,94,11
1592923955,255,255,255,9,92,95,11
1592923957,255,255,255,9,93,95,11
1592923958,255,255,255,9,93,96,11
1592923960,255,255,255,9,93,96,11
1592923961,255,255,255,9,93,96,11
1592923963,255,255,255,9,93,96,11
1592923964,255,255,255,9,93,96,10
1592923966,255,255,255,9,93,96,10
1592923967,255,255,255,9,93,97,10
1592923969,255,255,255,10,93,97,10
1592923970,255,255,255,9,92,97,11
1592923972,255,255,255,9,93,97,10
1592923973,255,255,255,9,92,97,10
1592923975,255,255,255,9,92,97,10
1592923976,255,255,255,9,93,97,10
1592923978,255,255,255,9,93,97,10
1592923979,255,255,255,9,92,97,10
1592923981,255,255,255,9,93,97,10
1592923982,255,255,255,9,92,98,10
1592923984,255,255,255,9,92,97,11
1592923985,217,255,166,10,7,1,22
1592923987,255,255,111,9,5,6,17
1592923988,255,255,41,9,5,5,16
1592923990,255,255,40,9,4,4,16
1592923991,255,255,40,9,5,4,16
1592923993,255,255,40,9,5,4,16
1592923994,233,255,39,9,5,4,16
1592923996,223,255,39,9,5,3,16
1592923997,224,255,40,9,5,4,16
1592923999,214,255,39,10,5,3,16
1592924000,255,255,166,10,4,5,20
1592924002,255,255,255,10,91,7,16
1592924003,255,255,255,9,96,7,16
1592924005,255,255,255,9,95,7,16
1592924006,255,255,255,9,94,7,18
1592924008,255,255,255,9,93,9,15
1592924009,255,255,255,9,102,90,11
1592924011,255,255,255,10,92,4,24
1592924012,255,255,255,9,93,11,19
1592924014,177,175,174,10,6,5,26
1592924015,28,25,25,10,11,1,22
1592924017,255,255,255,10,93,6,18
1592924018,255,255,255,9,91,9,20
1592924020,255,255,255,9,91,8,20
1592924021,255,255,255,9,91,7,19
1592924023,255,255,255,9,91,8,19
1592924024,255,255,255,9,91,7,19
1592924026,255,255,255,10,91,6,19
1592924027,255,255,255,9,91,6,18
1592924029,255,255,255,9,92,6,18
1592924030,255,255,255,10,91,6,18
1592924032,255,255,255,9,91,6,18
1592924033,255,255,255,9,91,6,18
1592924035,255,255,255,9,92,6,18
1592924036,255,255,255,9,91,6,18
1592924038,255,255,255,10,91,5,18
1592924039,255,255,255,9,91,6,18
1592924041,255,255,255,10,92,5,17
1592924042,255,255,255,9,91,5,17
1592924044,255,255,255,9,90,8,22
1592924045,223,48,102,10,10,17,24
1592924047,37,45,255,10,4,11,24
1592924048,34,142,255,9,3,10,23
1592924050,35,192,255,9,3,9,22
1592924051,34,255,255,9,2,8,22
1592924053,104,255,255,10,1,9,18
1592924054,255,255,255,9,101,90,12
1592924056,255,255,255,9,98,1,13
1592924057,255,255,255,9,98,1,13
1592924059,255,255,255,9,98,90,13
1592924060,255,255,255,9,98,90,12
1592924062,255,255,255,9,98,90,13
1592924063,255,255,255,9,98,90,12
1592924065,255,255,255,9,98,90,13
1592924066,255,255,255,9,98,90,13
1592924068,255,255,255,9,98,90,13
1592924069,255,255,255,9,98,90,13
1592924071,255,255,255,9,98,90,13
1592924072,255,255,255,9,97,90,13
1592924074,255,255,255,9,98,90,12
1592924075,255,255,255,9,97,90,12
1592924077,255,254,251,10,91,2,19
1592924078,26,24,22,10,11,90,17
1592924080,255,255,255,9,98,5,14
1592924081,255,255,255,9,96,5,16
1592924083,255,255,255,9,95,6,17
1592924084,255,255,255,9,94,7,17
1592924086,255,255,255,9,93,5,17
1592924087,27,26,23,10,9,93,17
1592924089,27,27,22,9,6,96,14
1592924090,33,28,23,9,5,98,13
1592924092,161,233,148,10,3,96,12
1592924093,255,255,255,9,90,90,9
1592924095,255,255,255,10,2,122,4
1592924096,255,255,255,9,4,96,9
1592924098,255,255,255,9,3,90,9
1592924099,255,255,255,9,2,90,11
1592924101,82,81,82,10,91,94,6
