Using computer(watching video and occasionally using phone)
Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, LDR 
1592922001,67,65,65,9,106,92,33
1592922003,71,67,69,9,102,92,36
1592922004,68,64,65,10,106,92,37
1592922006,68,64,65,9,106,92,36
1592922007,68,64,66,9,105,93,37
1592922009,69,65,66,9,105,93,37
1592922010,68,64,67,9,105,92,36
1592922012,70,65,67,9,105,92,36
1592922013,69,65,67,9,105,93,36
1592922015,70,65,66,10,105,92,36
1592922016,70,65,66,9,105,93,36
1592922018,70,65,67,9,105,92,36
1592922019,70,64,67,9,104,93,36
1592922021,70,65,67,10,105,93,36
1592922022,70,65,67,9,105,93,36
1592922024,70,65,67,9,105,93,36
1592922025,71,65,67,9,105,92,36
1592922027,71,66,68,9,104,93,35
1592922028,71,65,68,10,104,93,36
1592922030,71,65,68,9,104,93,35
1592922031,72,66,69,9,103,93,34
1592922033,73,68,70,9,101,92,33
1592922034,74,68,70,9,101,92,33
1592922036,74,68,71,10,101,93,34
1592922037,92,89,91,9,104,92,47
1592922039,100,96,98,9,107,93,53
1592922040,101,97,100,9,106,93,50
1592922042,100,99,102,10,104,92,47
1592922043,100,100,105,10,103,91,47
1592922045,100,98,101,9,105,90,48
1592922046,100,98,101,9,105,90,48
1592922048,101,97,101,9,105,91,48
1592922049,100,97,101,9,105,91,48
1592922051,101,97,100,9,106,91,48
1592922052,101,97,100,9,106,91,48
1592922054,101,97,100,9,106,92,48
1592922055,101,97,100,9,105,92,48
1592922057,100,97,100,9,106,91,48
1592922058,101,97,100,10,106,91,49
1592922060,101,97,100,9,106,92,48
1592922061,101,97,100,9,106,92,48
1592922063,101,97,100,9,106,92,48
1592922064,100,97,100,9,106,92,48
1592922066,101,97,100,9,106,92,48
1592922067,100,97,100,9,106,92,48
1592922069,101,98,101,9,105,1,64
1592922070,101,97,101,10,105,1,52
1592922072,101,97,100,10,105,90,49
1592922073,101,97,100,10,105,90,49
1592922075,100,97,100,9,106,90,49
1592922076,101,97,100,9,106,90,50
1592922078,101,97,99,9,106,91,49
1592922079,101,96,100,9,106,91,49
1592922081,100,96,100,9,106,91,49
1592922082,101,96,99,9,106,91,49
1592922084,101,96,99,9,106,91,49
1592922085,101,96,99,9,106,91,49
1592922087,101,96,99,9,106,91,49
1592922088,100,95,98,9,107,91,54
1592922090,98,98,100,9,104,93,50
1592922091,100,95,97,9,106,91,51
1592922093,100,95,98,10,106,90,50
1592922094,100,95,98,9,107,91,49
1592922096,100,95,99,9,107,92,49
1592922097,100,95,97,9,107,92,49
1592922099,100,95,97,9,107,92,49
1592922100,100,95,97,9,108,92,49
1592922102,77,75,75,9,106,92,38
1592922103,62,59,61,9,108,93,44
1592922105,61,59,60,10,108,95,39
1592922106,62,59,61,9,107,94,38
1592922108,63,60,61,9,106,95,40
1592922109,63,60,62,9,105,95,39
1592922111,62,59,61,9,106,95,40
1592922112,63,60,61,9,106,94,39
1592922114,62,60,61,9,106,95,40
1592922115,62,60,61,9,106,95,40
1592922117,62,60,61,9,107,95,40
1592922118,62,60,61,9,106,95,40
1592922120,62,60,61,9,106,95,40
1592922121,62,60,61,9,106,95,41
1592922123,63,60,61,9,107,95,40
1592922124,63,60,62,9,106,94,42
1592922126,59,58,57,9,94,92,23
1592922127,58,58,58,9,95,90,48
1592922129,62,60,62,9,107,91,51
1592922130,63,61,63,9,101,92,42
1592922132,64,62,64,9,104,95,37
1592922133,64,61,62,10,104,95,36
1592922135,64,61,62,9,105,95,36
1592922136,63,60,62,10,107,95,36
1592922138,63,60,62,9,106,95,37
1592922139,64,61,62,9,107,95,37
1592922141,63,61,62,9,106,95,37
1592922142,64,61,62,9,107,96,37
1592922144,64,61,63,9,106,95,37
1592922145,64,61,62,9,106,95,37
1592922147,64,61,63,10,105,96,37
1592922148,64,61,63,9,105,96,37
1592922150,65,62,62,9,105,96,36
1592922151,64,62,63,9,105,97,37
1592922153,65,61,63,9,105,96,36
1592922154,65,62,63,9,105,96,36
1592922156,65,62,63,9,105,96,36
1592922157,66,62,64,9,104,96,35
1592922159,66,62,65,9,104,96,35
1592922160,66,62,64,9,104,96,35
1592922162,66,62,64,9,104,96,35
1592922163,66,62,64,9,104,96,35
1592922165,82,78,80,10,105,94,59
1592922166,102,98,100,9,109,91,50
1592922168,102,97,100,9,107,93,52
1592922169,103,97,100,9,107,94,52
1592922171,104,98,101,9,107,92,51
1592922172,102,98,102,9,106,93,51
1592922174,103,99,101,9,107,93,51
1592922175,102,98,101,9,107,92,51
1592922177,103,98,101,9,106,93,51
1592922178,103,98,101,10,107,93,51
1592922180,103,98,101,9,106,93,51
1592922181,103,98,101,10,107,93,52
1592922183,103,98,100,9,107,93,52
1592922184,103,98,101,9,107,93,52
1592922186,103,98,101,9,107,93,51
1592922187,103,98,101,9,107,92,52
1592922189,103,98,100,10,107,93,51
1592922190,103,97,101,9,107,93,51
1592922192,104,98,101,9,107,93,51
1592922193,103,98,101,9,107,93,51
1592922195,103,98,101,9,107,93,51
1592922196,90,100,97,9,102,93,53
1592922198,100,101,104,9,105,92,50
1592922199,101,97,100,10,106,93,58
1592922201,96,92,93,9,110,91,76
1592922202,96,92,94,10,107,7,55
1592922204,93,91,91,10,110,11,57
1592922205,95,92,93,10,110,10,60
1592922207,95,92,93,10,110,9,60
1592922208,92,91,91,10,110,6,62
1592922210,99,93,95,10,107,4,54
1592922211,98,93,95,9,107,2,60
1592922213,86,90,87,10,101,3,36
1592922214,86,93,88,10,101,2,62
1592922216,105,96,98,9,104,2,64
1592922217,102,95,98,9,105,2,65
1592922219,103,95,98,9,105,2,64
1592922220,101,95,98,9,105,2,64
1592922222,100,95,97,9,106,3,65
1592922223,100,94,96,9,107,2,65
1592922225,97,92,94,10,107,3,52
1592922226,97,94,97,10,105,10,58
1592922228,97,96,98,9,107,8,61
1592922229,98,95,98,10,105,9,56
1592922231,99,94,96,9,104,12,56
1592922232,100,94,96,9,105,6,54
1592922234,101,93,96,9,105,1,57
1592922235,101,93,96,10,105,2,56
1592922237,100,94,96,9,105,5,53
1592922238,99,93,95,9,105,5,53
1592922240,101,95,97,9,104,4,56
1592922241,99,96,100,9,103,6,55
1592922243,99,96,100,9,104,6,56
1592922244,101,95,97,9,104,5,56
1592922246,101,94,97,9,104,4,54
1592922247,102,94,96,10,105,5,55
1592922249,99,94,96,10,106,4,53
1592922250,101,95,99,9,106,90,64
1592922252,101,97,100,9,106,1,54
1592922253,101,98,101,10,105,3,61
1592922255,101,98,100,9,106,3,64
1592922256,101,98,101,9,106,4,61
1592922258,101,99,102,10,106,4,63
1592922259,101,98,101,9,106,2,62
1592922261,100,97,100,10,107,1,55
1592922262,98,94,97,10,106,2,64
1592922264,89,94,95,10,104,3,43
1592922265,71,68,70,9,105,90,38
1592922267,79,75,77,9,106,90,46
1592922268,88,83,85,10,107,2,46
1592922270,87,83,84,9,109,5,56
1592922271,87,84,85,10,110,4,58
1592922273,90,86,87,9,108,2,56
1592922274,90,86,87,10,109,1,57
1592922276,90,86,88,9,108,90,58
1592922277,91,86,87,10,108,90,61
1592922279,92,86,88,9,108,90,61
1592922280,92,86,88,9,108,90,62
1592922282,93,88,91,9,105,91,63
1592922283,92,87,88,10,107,90,64
1592922285,91,86,88,9,108,90,56
1592922286,90,85,87,10,108,90,54
1592922288,90,85,87,10,108,90,55
1592922289,91,86,88,9,107,90,56
1592922291,92,86,88,9,107,91,57
1592922292,92,86,89,9,107,91,57
1592922294,92,86,88,9,107,92,58
1592922295,95,90,91,9,103,93,55
1592922297,96,93,95,9,104,90,58
1592922298,95,90,93,9,106,91,61
1592922300,95,89,92,9,106,91,61
1592922301,95,89,92,10,105,91,61
1592922303,95,89,92,9,106,91,61
1592922304,94,89,91,9,106,92,62
1592922306,95,89,92,9,106,91,61
1592922307,94,89,92,10,106,91,62
1592922309,94,89,91,9,106,92,62
1592922310,94,88,92,9,106,92,61
1592922312,95,89,91,9,106,92,61
1592922313,95,89,92,9,106,92,61
1592922315,95,89,92,9,106,91,61
1592922316,95,89,92,9,106,92,60
1592922318,94,89,92,9,106,91,60
1592922319,95,89,92,10,106,91,61
1592922321,95,89,92,9,106,91,60
1592922322,95,89,92,9,106,91,60
1592922324,94,90,93,9,108,2,56
1592922325,94,90,93,10,106,90,58
1592922327,93,87,90,9,107,4,55
1592922328,91,89,91,9,102,3,34
1592922330,82,88,86,10,96,93,47
1592922331,19,35,30,10,95,93,30
